food_name,diet_tags,mood_tags,allergens,best_time_to_eat,description
Chocolate eclairs,"Vegan, Vegetarian",Happy,None,Snack,Chocolate eclairs is suitable for a general diet and supports neutral mood.
Cheese balls,Vegetarian,Stressed,Lactose / Dairy,Lunch,Cheese balls is suitable for a vegetarian diet and supports neutral mood.
Minced meat patties,Paleo,Energetic & Calm,None,Dinner,Minced meat patties is suitable for a general diet and supports neutral mood.
Cheese patties,Vegetarian,Stressed,Lactose / Dairy,Dinner,Cheese patties is suitable for a vegetarian diet and supports neutral mood.
Hot cheese souffle,Vegetarian,Energetic & Calm,Lactose / Dairy,Breakfast,Hot cheese souffle is suitable for a vegetarian diet and supports neutral mood.
Hot potato souffle,"Vegan, Vegetarian",Craving,None,Lunch,Hot potato souffle is suitable for a general diet and supports neutral mood.
Hot fish souffle,"Keto, Mediterranean, Pescatarian",Happy,Seafood / Shellfish,Snack,"Hot fish souffle is suitable for a keto, pescatarian diet and supports neutral mood."
Hot spinach souffle,"Vegan, Vegetarian",Craving,None,Breakfast,Hot spinach souffle is suitable for a general diet and supports neutral mood.
Plain cream cake,"Keto, Vegan, Vegetarian",Energetic & Calm,None,Lunch,Plain cream cake is suitable for a general diet and supports neutral mood.
Apple cake (Seb ka cake),"Vegan, Vegetarian",Craving,None,Dinner,Apple cake (Seb ka cake) is suitable for a general diet and supports neutral mood.
Marble cake,"Vegan, Vegetarian",Craving,None,Dinner,Marble cake is suitable for a general diet and supports neutral mood.
Chocolate cake,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Chocolate cake is suitable for a general diet and supports neutral mood.
Orange cake,"Vegan, Vegetarian",Happy,None,Breakfast,Orange cake is suitable for a general diet and supports neutral mood.
Fruit Loaf ,Vegan,Depressed Mood,None,Dinner,Fruit Loaf  is suitable for a vegan diet and supports depressed mood.
Banana cake (Kele ka cake),"Vegan, Vegetarian",Tired & Anxious,None,Lunch,Banana cake (Kele ka cake) is suitable for a general diet and supports tired & anxious.
Chocolate chiffon cake,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Chocolate chiffon cake is suitable for a general diet and supports neutral mood.
Christmas cake,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Christmas cake is suitable for a general diet and supports neutral mood.
Strawberry and vanilla cake with butter icing,"Keto, Raw Food",Energetic & Calm,Lactose / Dairy,Snack,Strawberry and vanilla cake with butter icing is suitable for a keto diet and supports neutral mood.
Eggless cake,Keto,Craving,Eggs,Lunch,Eggless cake is suitable for a keto diet and supports neutral mood.
Swiss roll,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Swiss roll is suitable for a general diet and supports neutral mood.
Pineapple pastry ,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Pineapple pastry  is suitable for a general diet and supports neutral mood.
Black forest pastry,"Vegan, Vegetarian",Stressed,None,Lunch,Black forest pastry is suitable for a general diet and supports neutral mood.
Coconut finger,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Coconut finger is suitable for a general diet and supports neutral mood.
Pineapple cake ,"Vegan, Vegetarian",Stressed,None,Breakfast,Pineapple cake  is suitable for a general diet and supports neutral mood.
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Chocolate walnut cookies (Chocolate aur akhrot ke cookies) is suitable for a general diet and supports neutral mood.
Chocolate chip cookies,"Vegan, Vegetarian",Happy,None,Dinner,Chocolate chip cookies is suitable for a general diet and supports neutral mood.
Sweet plain biscuit,"Vegan, Vegetarian",Craving,None,Breakfast,Sweet plain biscuit is suitable for a general diet and supports neutral mood.
Chocolate biscuit,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Chocolate biscuit is suitable for a general diet and supports neutral mood.
Coconut biscuit (Nariyal ke biscuit),"Vegan, Vegetarian",Stressed,None,Dinner,Coconut biscuit (Nariyal ke biscuit) is suitable for a general diet and supports neutral mood.
Sweet and salty biscuit (Meethay aur namkeen biscuit),"Vegan, Vegetarian",Stressed,None,Lunch,Sweet and salty biscuit (Meethay aur namkeen biscuit) is suitable for a general diet and supports neutral mood.
Peanut biscuit,"Vegan, Vegetarian",Energetic & Calm,Nuts,Lunch,Peanut biscuit is suitable for a general diet and supports neutral mood.
Pin wheel biscuit,"Vegan, Vegetarian",Craving,None,Lunch,Pin wheel biscuit is suitable for a general diet and supports neutral mood.
Saffron biscuit (Kesar biscuit),"Vegan, Vegetarian",Stressed,None,Lunch,Saffron biscuit (Kesar biscuit) is suitable for a general diet and supports neutral mood.
Masala biscuit,"Vegan, Vegetarian",Happy,None,Snack,Masala biscuit is suitable for a general diet and supports neutral mood.
Ice box cookies,"Vegan, Vegetarian",Stressed,None,Lunch,Ice box cookies is suitable for a general diet and supports neutral mood.
Ginger bread man,Anti-Inflammatory,Depressed Mood,Gluten,Snack,Ginger bread man is suitable for a general diet and supports neutral mood.
Danish cookies,"Vegan, Vegetarian",Stressed,None,Dinner,Danish cookies is suitable for a general diet and supports neutral mood.
Short bread cookies,"Vegan, Vegetarian",Happy,Gluten,Breakfast,Short bread cookies is suitable for a general diet and supports neutral mood.
Coffee biscuit,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Coffee biscuit is suitable for a general diet and supports energetic & calm.
Melting moments,"Vegan, Vegetarian",Craving,None,Breakfast,Melting moments is suitable for a general diet and supports neutral mood.
Ginger biscuit (Adarak ke biscuit),Anti-Inflammatory,Craving,None,Breakfast,Ginger biscuit (Adarak ke biscuit) is suitable for a general diet and supports neutral mood.
Soyabean muthias,Vegan,Happy,Soy,Breakfast,Soyabean muthias is suitable for a vegan diet and supports neutral mood.
Soyabean tikki,Vegan,Craving,Soy,Snack,Soyabean tikki is suitable for a vegan diet and supports neutral mood.
Soyabean namak paras,Vegan,Craving,Soy,Breakfast,Soyabean namak paras is suitable for a vegan diet and supports neutral mood.
Peanut burfi (Moongfali ki burfi),"Vegan, Vegetarian",Stressed,Nuts,Lunch,Peanut burfi (Moongfali ki burfi) is suitable for a general diet and supports neutral mood.
Spinach peanut namak paras (Palak moongfali namak paras),"Vegan, Vegetarian",Craving,Nuts,Breakfast,Spinach peanut namak paras (Palak moongfali namak paras) is suitable for a general diet and supports neutral mood.
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),"Vegan, Vegetarian",Stressed,None,Dinner,Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela) is suitable for a general diet and supports neutral mood.
Rice moong dal cheela (Chawal aur moong dal ka cheela),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Rice moong dal cheela (Chawal aur moong dal ka cheela) is suitable for a vegan, vegetarian diet and supports balanced mood."
Split bengal gram sweet rice (Channa dal sweet rice),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Split bengal gram sweet rice (Channa dal sweet rice) is suitable for a vegan, vegetarian diet and supports balanced mood."
Sweet poori (Meethi poori),"Vegan, Vegetarian",Craving,None,Lunch,Sweet poori (Meethi poori) is suitable for a general diet and supports neutral mood.
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),"Vegan, Vegetarian",Balanced Mood,Gluten,"Lunch, Dinner","Wheat flour and moong dal burfi (Atta aur moong dal ki burfi) is suitable for a vegan, vegetarian diet and supports balanced mood."
Spinach burfi (Palak burfi),"Vegan, Vegetarian",Stressed,None,Snack,Spinach burfi (Palak burfi) is suitable for a general diet and supports neutral mood.
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),"Vegan, Vegetarian",Balanced Mood,Gluten,"Lunch, Dinner","Sweet split chickpea roti (Sweet channa dal roti/Puranpoli) is suitable for a vegan, vegetarian diet and supports balanced mood."
Sprouted moong daliya ,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Sprouted moong daliya  is suitable for a vegan, vegetarian diet and supports balanced mood."
Sprouted moong poha ,Vegetarian,Craving,None,Breakfast,Sprouted moong poha  is suitable for a vegetarian diet and supports neutral mood.
Pearl millet ladoo (Bajra ladoo),"Vegan, Vegetarian",Happy,Nuts,Snack,Pearl millet ladoo (Bajra ladoo) is suitable for a general diet and supports happy.
Paushtik ladoo,"Vegan, Vegetarian",Happy,Nuts,Snack,Paushtik ladoo is suitable for a general diet and supports happy.
Paushtik roti,"Vegan, Vegetarian",Balanced Mood,Gluten,"Lunch, Dinner",Paushtik roti is suitable for a general diet and supports balanced mood.
Semolina carrot vada (Suji gajar vada),"Vegan, Vegetarian",Stressed,None,Dinner,Semolina carrot vada (Suji gajar vada) is suitable for a general diet and supports neutral mood.
Dhokla,"Vegan, Vegetarian",Stressed,None,Lunch,Dhokla is suitable for a general diet and supports neutral mood.
Kashmiri tea (Kehwa),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Kashmiri tea (Kehwa) is suitable for a general diet and supports energetic & calm.
Steeped hot coffee,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Steeped hot coffee is suitable for a general diet and supports energetic & calm.
Hot chocolate,"Vegan, Vegetarian",Craving,None,Lunch,Hot chocolate is suitable for a general diet and supports neutral mood.
Cold coffee (with cream),"Keto, Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Cold coffee (with cream) is suitable for a general diet and supports energetic & calm.
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Vegetarian,"Happy, Tired & Anxious",Lactose / Dairy,Snack,"Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath) is suitable for a vegetarian diet and supports happy, tired & anxious."
Flavoured milkshake,Vegetarian,Tired & Anxious,Lactose / Dairy,Snack,Flavoured milkshake is suitable for a vegetarian diet and supports tired & anxious.
Jal jeera,"Vegan, Vegetarian",Stressed,None,Dinner,Jal jeera is suitable for a general diet and supports neutral mood.
Gingo,"Vegan, Vegetarian",Craving,None,Lunch,Gingo is suitable for a general diet and supports neutral mood.
Mintade,"Vegan, Vegetarian",Happy,None,Dinner,Mintade is suitable for a general diet and supports neutral mood.
Canjee,"Vegan, Vegetarian",Happy,None,Lunch,Canjee is suitable for a general diet and supports neutral mood.
Cauliflower canjee (Phoolgobhi ki canjee),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Cauliflower canjee (Phoolgobhi ki canjee) is suitable for a general diet and supports neutral mood.
Potato canjee (Aloo canjee),Vegetarian,Depressed Mood,None,Snack,Potato canjee (Aloo canjee) is suitable for a vegetarian diet and supports neutral mood.
Vermicelli porridge (Semiya/Seviyan porridge),"Vegan, Vegetarian",Stressed,None,Snack,Vermicelli porridge (Semiya/Seviyan porridge) is suitable for a general diet and supports neutral mood.
Semolina upma (Suji/Rava upma),Vegetarian,Energetic & Calm,None,Breakfast,Semolina upma (Suji/Rava upma) is suitable for a vegetarian diet and supports neutral mood.
Vermicelli upma (Semiya/Seviyan upma),Vegetarian,Happy,None,Breakfast,Vermicelli upma (Semiya/Seviyan upma) is suitable for a vegetarian diet and supports neutral mood.
Rice upma,"Vegan, Vegetarian","Balanced Mood, Depressed Mood",None,"Breakfast, Lunch","Rice upma is suitable for a vegan, vegetarian diet and supports balanced mood, neutral mood."
Bread upma,Vegetarian,Energetic & Calm,Gluten,Breakfast,Bread upma is suitable for a vegetarian diet and supports neutral mood.
Vegetable upma,"Vegan, Vegetarian","Balanced Mood, Craving",None,Breakfast,"Vegetable upma is suitable for a vegan, vegetarian diet and supports balanced mood, neutral mood."
Poha,Vegetarian,Stressed,None,Breakfast,Poha is suitable for a vegetarian diet and supports neutral mood.
Vegetable poha,"Vegan, Vegetarian","Balanced Mood, Energetic & Calm",None,Breakfast,"Vegetable poha is suitable for a vegan, vegetarian diet and supports balanced mood, neutral mood."
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla) is suitable for a vegan, vegetarian diet and supports balanced mood."
Paneer stuffed cheela/chilla,"Keto, Vegetarian",Happy,Lactose / Dairy,Breakfast,"Paneer stuffed cheela/chilla is suitable for a keto, vegetarian diet and supports neutral mood."
Indian style egg bhujia (Anda bhujia (Indian style)),Keto,Happy,Eggs,Breakfast,Indian style egg bhujia (Anda bhujia (Indian style)) is suitable for a keto diet and supports neutral mood.
French omelette/omlet,"Vegan, Vegetarian",Depressed Mood,None,Dinner,French omelette/omlet is suitable for a general diet and supports neutral mood.
Puffy omelette/omlet,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Puffy omelette/omlet is suitable for a general diet and supports neutral mood.
Orange omelette/omlet,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Orange omelette/omlet is suitable for a general diet and supports neutral mood.
Cheese and mushroom omelette/omlet,Vegetarian,Energetic & Calm,Lactose / Dairy,Dinner,Cheese and mushroom omelette/omlet is suitable for a vegetarian diet and supports neutral mood.
Spanish omelette/omlet,"Vegan, Vegetarian",Happy,None,Snack,Spanish omelette/omlet is suitable for a general diet and supports neutral mood.
Mixed stock,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Mixed stock is suitable for a general diet and supports neutral mood.
Meat stock,Paleo,Craving,None,Dinner,Meat stock is suitable for a general diet and supports neutral mood.
White stock,"Vegan, Vegetarian",Energetic & Calm,None,Snack,White stock is suitable for a general diet and supports neutral mood.
Meat consomme (with mutton),Keto,Depressed Mood,None,Snack,Meat consomme (with mutton) is suitable for a keto diet and supports neutral mood.
Consomme au julienne,"Vegan, Vegetarian",Craving,None,Snack,Consomme au julienne is suitable for a general diet and supports neutral mood.
Consomme au vermicelli,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Consomme au vermicelli is suitable for a general diet and supports neutral mood.
Green pea soup (Matar ka soup),"Vegan, Vegetarian",Happy,None,Snack,Green pea soup (Matar ka soup) is suitable for a general diet and supports neutral mood.
Spinach soup (Palak ka soup),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Spinach soup (Palak ka soup) is suitable for a general diet and supports neutral mood.
Mixed vegetable soup,Vegan,Balanced Mood,None,Snack,Mixed vegetable soup is suitable for a vegan diet and supports balanced mood.
Cheese soup,Vegetarian,Stressed,Lactose / Dairy,Dinner,Cheese soup is suitable for a vegetarian diet and supports neutral mood.
Mulligatawny soup,"Vegan, Vegetarian",Happy,None,Lunch,Mulligatawny soup is suitable for a general diet and supports neutral mood.
Cream of carrot soup,"Keto, Vegan, Vegetarian",Depressed Mood,None,Snack,Cream of carrot soup is suitable for a general diet and supports neutral mood.
Cream of broccoli soup,"Keto, Vegan, Vegetarian",Energetic & Calm,None,Lunch,Cream of broccoli soup is suitable for a general diet and supports neutral mood.
Cream of potato soup,"Keto, Vegan, Vegetarian",Energetic & Calm,None,Dinner,Cream of potato soup is suitable for a general diet and supports neutral mood.
Almond soup (Badam ka soup),Keto,Tired & Anxious,Nuts,Dinner,Almond soup (Badam ka soup) is suitable for a keto diet and supports tired & anxious.
Cold cucumber cream soup ,"Keto, Vegan, Vegetarian",Depressed Mood,None,Dinner,Cold cucumber cream soup  is suitable for a general diet and supports neutral mood.
Cold tomato soup,"Vegan, Vegetarian",Happy,None,Snack,Cold tomato soup is suitable for a general diet and supports neutral mood.
Chicken stew,Keto,Craving,None,Snack,Chicken stew is suitable for a keto diet and supports neutral mood.
Veg paneer stew,"Keto, Vegetarian",Depressed Mood,Lactose / Dairy,Breakfast,"Veg paneer stew is suitable for a keto, vegetarian diet and supports neutral mood."
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),"Vegan, Vegetarian",Depressed Mood,Gluten,Breakfast,Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha) is suitable for a general diet and supports neutral mood.
Methi parantha/paratha,"Vegan, Vegetarian",Happy,Gluten,Breakfast,Methi parantha/paratha is suitable for a general diet and supports neutral mood.
Bathua poori,"Vegan, Vegetarian",Craving,None,Snack,Bathua poori is suitable for a general diet and supports neutral mood.
Gram flour poori (Besan poori),"Vegan, Vegetarian",Craving,None,Lunch,Gram flour poori (Besan poori) is suitable for a general diet and supports neutral mood.
Beetroot poori (Chukandar ki poori),"Vegan, Vegetarian",Stressed,None,Lunch,Beetroot poori (Chukandar ki poori) is suitable for a general diet and supports neutral mood.
Peas poori (Matar ki poori),"Vegan, Vegetarian",Stressed,None,Dinner,Peas poori (Matar ki poori) is suitable for a general diet and supports neutral mood.
Peas kachori (Matar kachori),"Vegan, Vegetarian",Depressed Mood,None,Snack,Peas kachori (Matar kachori) is suitable for a general diet and supports neutral mood.
Pizza,"Vegan, Vegetarian",Stressed,None,Lunch,Pizza is suitable for a general diet and supports neutral mood.
Bacon and mushroom pancake,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Bacon and mushroom pancake is suitable for a general diet and supports neutral mood.
Cheese and tomato pancake,Vegetarian,Craving,Lactose / Dairy,Lunch,Cheese and tomato pancake is suitable for a vegetarian diet and supports neutral mood.
Minced meat pancake (with chicken),Keto,Happy,None,Lunch,Minced meat pancake (with chicken) is suitable for a keto diet and supports neutral mood.
Eggplant/Brinjal rice (Vangi bhat),"Keto, Vegan",Balanced Mood,Eggs,Lunch,"Eggplant/Brinjal rice (Vangi bhat) is suitable for a keto, vegan diet and supports balanced mood."
Kashmiri 'tahar',"Vegan, Vegetarian",Happy,None,Snack,Kashmiri 'tahar' is suitable for a general diet and supports neutral mood.
Cumin pulao (Jeera/Zeera pulao),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Cumin pulao (Jeera/Zeera pulao) is suitable for a general diet and supports neutral mood.
Peas pulao (Matar pulao),"Vegan, Vegetarian",Stressed,None,Breakfast,Peas pulao (Matar pulao) is suitable for a general diet and supports neutral mood.
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao) is suitable for a vegan, vegetarian diet and supports balanced mood."
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),"Vegan, Vegetarian",Happy,None,Snack,Black channa pulao/ Bengal gram pulao (Kale chane ka pulao) is suitable for a general diet and supports neutral mood.
Mutton pulao,Keto,Energetic & Calm,None,Snack,Mutton pulao is suitable for a keto diet and supports neutral mood.
Chicken pulao,Keto,Happy,None,Lunch,Chicken pulao is suitable for a keto diet and supports neutral mood.
Mexican rice,Vegan,Balanced Mood,None,Lunch,Mexican rice is suitable for a vegan diet and supports balanced mood.
Plain khitchdi (Plain khichri/khichdi),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Plain khitchdi (Plain khichri/khichdi) is suitable for a general diet and supports neutral mood.
Instant idli (with semolina),"Vegan, Vegetarian",Craving,None,Breakfast,Instant idli (with semolina) is suitable for a general diet and supports neutral mood.
Plain dosa,"Vegan, Vegetarian",Happy,None,Breakfast,Plain dosa is suitable for a general diet and supports neutral mood.
Masala dosa mixed vegetable fillings,Vegan,"Balanced Mood, Happy",None,Breakfast,"Masala dosa mixed vegetable fillings is suitable for a vegan diet and supports balanced mood, neutral mood."
Masala dosa paneer fillings,"Keto, Vegetarian",Happy,Lactose / Dairy,Breakfast,"Masala dosa paneer fillings is suitable for a keto, vegetarian diet and supports neutral mood."
Uttapam,"Vegan, Vegetarian",Happy,None,Dinner,Uttapam is suitable for a general diet and supports neutral mood.
Appam,"Vegan, Vegetarian",Depressed Mood,None,Snack,Appam is suitable for a general diet and supports neutral mood.
Beans and macaroni,"Vegan, Vegetarian",Stressed,None,Breakfast,Beans and macaroni is suitable for a general diet and supports neutral mood.
Spaghetti bolognese,"Vegan, Vegetarian",Craving,None,Breakfast,Spaghetti bolognese is suitable for a general diet and supports neutral mood.
Meat and macaroni casserole,Paleo,Depressed Mood,None,Lunch,Meat and macaroni casserole is suitable for a general diet and supports neutral mood.
Spaghetti with meat balls and tomato sauce,Paleo,Craving,None,Snack,Spaghetti with meat balls and tomato sauce is suitable for a general diet and supports neutral mood.
Spaghetti with paneer balls and tomato sauce,"Keto, Vegetarian",Depressed Mood,Lactose / Dairy,Snack,"Spaghetti with paneer balls and tomato sauce is suitable for a keto, vegetarian diet and supports neutral mood."
Lasagne with meat sauce,Paleo,Craving,None,Dinner,Lasagne with meat sauce is suitable for a general diet and supports neutral mood.
Lasagne with vegetables,Vegan,Balanced Mood,None,Breakfast,Lasagne with vegetables is suitable for a vegan diet and supports balanced mood.
Home made egg noodles,Keto,Energetic & Calm,Eggs,Lunch,Home made egg noodles is suitable for a keto diet and supports neutral mood.
Sour lentils (Khatti dal),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Sour lentils (Khatti dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Urad special dehusked,"Vegan, Vegetarian",Happy,None,Dinner,Urad special dehusked is suitable for a general diet and supports neutral mood.
Arhar with spinach (Arhar dal aur palak),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Arhar with spinach (Arhar dal aur palak) is suitable for a vegan, vegetarian diet and supports balanced mood."
Moong dal with vadi,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Moong dal with vadi is suitable for a vegan, vegetarian diet and supports balanced mood."
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru) is suitable for a general diet and supports neutral mood.
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru) is suitable for a general diet and supports energetic & calm.
Green gram whole with baghar (Sabut moong dal with tadka),"Vegan, Vegetarian, Whole30",Balanced Mood,None,"Lunch, Dinner","Green gram whole with baghar (Sabut moong dal with tadka) is suitable for a vegan, vegetarian diet and supports balanced mood."
Urad sabut special,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Urad sabut special is suitable for a general diet and supports neutral mood.
Kabuli channa curry,"Vegan, Vegetarian",Stressed,None,Dinner,Kabuli channa curry is suitable for a general diet and supports neutral mood.
Besan gatte curry,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Besan gatte curry is suitable for a general diet and supports neutral mood.
Dry masala chops,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Dry masala chops is suitable for a general diet and supports neutral mood.
Mutton korma,Keto,Craving,None,Breakfast,Mutton korma is suitable for a keto diet and supports neutral mood.
Shahi keema kofta curry,"Vegan, Vegetarian",Craving,None,Dinner,Shahi keema kofta curry is suitable for a general diet and supports neutral mood.
Minced meat ball curry,Paleo,Happy,None,Dinner,Minced meat ball curry is suitable for a general diet and supports neutral mood.
Boti kebab,"Vegan, Vegetarian",Craving,None,Breakfast,Boti kebab is suitable for a general diet and supports neutral mood.
Mutton seekh kebab,Keto,Energetic & Calm,None,Breakfast,Mutton seekh kebab is suitable for a keto diet and supports neutral mood.
Indian lamb and egg curry (Nargisi kofta),Keto,Energetic & Calm,Eggs,Dinner,Indian lamb and egg curry (Nargisi kofta) is suitable for a keto diet and supports neutral mood.
Soya chunks sweet and sour (Nutrinugget sweet and sour),Vegan,Depressed Mood,Soy,Breakfast,Soya chunks sweet and sour (Nutrinugget sweet and sour) is suitable for a vegan diet and supports neutral mood.
Soya chunks korma (Nutrinugget korma),Vegan,Craving,Soy,Snack,Soya chunks korma (Nutrinugget korma) is suitable for a vegan diet and supports neutral mood.
Mushroom matar,"Vegan, Vegetarian",Stressed,None,Lunch,Mushroom matar is suitable for a general diet and supports neutral mood.
Soya chunks and peas (Nutrinugget matar),Vegan,Happy,Soy,Snack,Soya chunks and peas (Nutrinugget matar) is suitable for a vegan diet and supports neutral mood.
Vegetable yakhni,Vegan,Balanced Mood,None,Snack,Vegetable yakhni is suitable for a vegan diet and supports balanced mood.
Spinach mushroom (Palak mushroom),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Spinach mushroom (Palak mushroom) is suitable for a general diet and supports neutral mood.
Vegetarian nargisi kofta curry,Vegetarian,Depressed Mood,None,Dinner,Vegetarian nargisi kofta curry is suitable for a general diet and supports neutral mood.
Roast chicken,Keto,Craving,None,Dinner,Roast chicken is suitable for a keto diet and supports neutral mood.
Shahi chicken masala,Keto,Craving,None,Breakfast,Shahi chicken masala is suitable for a keto diet and supports neutral mood.
Tomato chicken,Keto,Energetic & Calm,None,Breakfast,Tomato chicken is suitable for a keto diet and supports neutral mood.
Creamy chicken,Keto,Happy,None,Snack,Creamy chicken is suitable for a keto diet and supports neutral mood.
Broccoli chicken ala king,Keto,Energetic & Calm,None,Lunch,Broccoli chicken ala king is suitable for a keto diet and supports neutral mood.
Ginger chicken,"Anti-Inflammatory, Keto",Happy,None,Lunch,Ginger chicken is suitable for a keto diet and supports neutral mood.
Chicken sweet and sour,Keto,Energetic & Calm,None,Breakfast,Chicken sweet and sour is suitable for a keto diet and supports neutral mood.
Chicken korma,Keto,Energetic & Calm,None,Breakfast,Chicken korma is suitable for a keto diet and supports neutral mood.
Bengal fish curry (Bengali machli curry),"Keto, Mediterranean, Pescatarian",Happy,Seafood / Shellfish,Dinner,"Bengal fish curry (Bengali machli curry) is suitable for a keto, pescatarian diet and supports neutral mood."
Fish finger,"Keto, Mediterranean, Pescatarian",Craving,Seafood / Shellfish,Lunch,"Fish finger is suitable for a keto, pescatarian diet and supports neutral mood."
Fish in coconut milk (Nariyal ke doodh ke saath machli),"Keto, Mediterranean, Pescatarian, Vegetarian",Depressed Mood,"Lactose / Dairy, Seafood / Shellfish",Dinner,"Fish in coconut milk (Nariyal ke doodh ke saath machli) is suitable for a keto, vegetarian, pescatarian diet and supports neutral mood."
Prawn curry (with coconut) (Jhinga curry),"Pescatarian, Raw Food",Stressed,Seafood / Shellfish,Dinner,Prawn curry (with coconut) (Jhinga curry) is suitable for a pescatarian diet and supports neutral mood.
Baked stuffed fish,"Keto, Mediterranean, Pescatarian",Stressed,Seafood / Shellfish,Breakfast,"Baked stuffed fish is suitable for a keto, pescatarian diet and supports neutral mood."
Fish pie,"Keto, Mediterranean, Pescatarian",Energetic & Calm,Seafood / Shellfish,Snack,"Fish pie is suitable for a keto, pescatarian diet and supports neutral mood."
Crispy baked fish,"Keto, Mediterranean, Pescatarian",Craving,Seafood / Shellfish,Lunch,"Crispy baked fish is suitable for a keto, pescatarian diet and supports neutral mood."
Fish souffle,"Keto, Mediterranean, Pescatarian",Depressed Mood,Seafood / Shellfish,Dinner,"Fish souffle is suitable for a keto, pescatarian diet and supports neutral mood."
Potato curry (Aloo ki sabzi),"Vegan, Vegetarian",Energetic & Calm,None,"Lunch, Dinner","Potato curry (Aloo ki sabzi) is suitable for a vegan, vegetarian diet and supports neutral mood."
Egg curry (Anda curry),Keto,Depressed Mood,Eggs,Dinner,Egg curry (Anda curry) is suitable for a keto diet and supports neutral mood.
Vegetable curry with coconut ,Vegan,Balanced Mood,None,Dinner,Vegetable curry with coconut  is suitable for a vegan diet and supports balanced mood.
Curd with potatoes (Dahi aloo),Vegetarian,Depressed Mood,Lactose / Dairy,Breakfast,Curd with potatoes (Dahi aloo) is suitable for a vegetarian diet and supports depressed mood.
Potato kofta curry (Aloo kofta curry),Vegetarian,Energetic & Calm,None,Dinner,Potato kofta curry (Aloo kofta curry) is suitable for a vegetarian diet and supports neutral mood.
Yam kofta curry (Zimikand/Suran kofta curry),"Vegan, Vegetarian",Depressed Mood,None,Dinner,Yam kofta curry (Zimikand/Suran kofta curry) is suitable for a general diet and supports neutral mood.
Jackfruit kofta curry (Kathal ka kofta curry),Vegan,Depressed Mood,None,Dinner,Jackfruit kofta curry (Kathal ka kofta curry) is suitable for a vegan diet and supports depressed mood.
